"AffyID"	"SYMBOL"	"ND_1_CD14_TNF_90_133Plus_2.CEL"	"ND_2_CD14_TNF_90_133Plus_2.CEL"
"1552678_a_at"	"USP28"	"6.9915419165573"	"7.09736795809979"
"1552680_a_at"	"CASC5"	"6.84750388571697"	"6.97903443613826"
"1552682_a_at"	"CASC5"	"6.79561585526709"	"6.99149393235785"
"1552684_a_at"	"SENP8"	"6.83476163403132"	"7.1173652459453"
"1552685_a_at"	"GRHL1"	"6.72433858262226"	"7.24015465796968"
"1552686_at"	"CNBD2"	"7.20655880524586"	"7.71446717026331"
"1552687_a_at"	"CNBD2"	"6.72576081567488"	"7.36972534354565"
"1552689_at"	"CASKIN1"	"7.22976629246741"	"7.27031574563033"
"1552690_a_at"	"CACNA2D4"	"7.01371276666734"	"7.21109844712921"
"1552691_at"	"ARL11"	"7.25910070722229"	"6.79103976481959"
"1552693_at"	"ARL11"	"6.72405764271777"	"6.84572071712924"
"1552694_at"	"SLC2A13"	"6.49747858299278"	"6.9618060077593"
"1552695_a_at"	"SLC2A13"	"6.7839783662995"	"6.6386144414521"
"1552696_at"	"NIPA1"	"6.89990524268049"	"7.30433359672322"
"1552698_at"	"TUBA3FP"	"7.014413442108"	"7.07901566485589"
"1552701_a_at"	"CARD16"	"11.2187656417492"	"9.12123186868866"
"1552703_s_at"	"CARD16"	"10.1136525444279"	"8.8393060727664"
"1552705_at"	"DUSP19"	"6.53377293186144"	"6.50067314476477"
"1552708_a_at"	"DUSP19"	"6.65991662241046"	"6.84728842626639"
"1552711_a_at"	"CYB5D1"	"7.66622924415721"	"6.99399724471778"
"1552712_a_at"	"NMNAT2"	"7.04473141538304"	"7.14533158236182"
"1552713_a_at"	"SLC4A1"	"6.8796604216455"	"7.10299435927539"
"1552714_at"	"CREG2"	"6.72098830041351"	"6.97565251932792"
"1552715_a_at"	"RXFP1"	"6.61922920130242"	"6.80159201231143"
"1552716_at"	"SPEF2"	"6.86773397492906"	"6.97170113439046"
"1552717_s_at"	"CEP170P1"	"7.00628635656056"	"7.10025464357901"
"1552718_at"	"DTD1"	"7.05859588884315"	"6.93812103570679"
"1552719_at"	"CASC4"	"7.27030555245222"	"7.66986034364777"
"1552721_a_at"	"FGF1"	"6.71687972877618"	"6.73772655520323"
"1552722_at"	"ARPP21"	"6.65350070307806"	"6.66757877080328"
"1552724_at"	"RHOXF1"	"7.01565927837185"	"7.58058131185027"
"1552725_s_at"	"ADAMTS17"	"7.0755214209612"	"7.90243438649806"
"1552726_at"	"ADAMTS17"	"7.25660313027911"	"8.03791995001732"
"1552727_s_at"	"ADAMTS17"	"6.77278409446567"	"6.94267965081485"
"1552729_at"	"SNHG7"	"7.18287791988709"	"7.79334874984831"
"1552730_at"	"DHH"	"7.06051934533903"	"7.21192608760257"
"1552731_at"	"ABRA"	"6.82292406719902"	"7.1573417460969"
"1552732_at"	"ABRA"	"6.58035427749863"	"6.66090246476545"
"1552733_at"	"KLHDC1"	"6.55315442925892"	"6.67057454460854"
"1552734_at"	"RICTOR"	"6.77690724901308"	"6.84627186261086"
"1552735_at"	"PCDHGC3"	"6.61095078105602"	"6.80084311320291"
"1552736_a_at"	"NETO1"	"6.81874326983219"	"6.90027975751922"
"1552737_s_at"	"WWP2"	"7.12431645038097"	"6.56681003208435"
"1552738_a_at"	"ST7L"	"6.68973521575989"	"6.80100172115666"
"1552739_s_at"	"ST7L"	"7.00350860122964"	"6.86024479717696"
"1552740_at"	"C2orf15"	"6.63515556581791"	"6.97736748011215"
"1552742_at"	"KCNH8"	"6.73920501724695"	"6.86128497091715"
"1552743_at"	"MCF2L"	"6.77051615371137"	"6.76466932685307"
"1552745_at"	"SLCO6A1"	"6.79385185496171"	"7.09390194398266"
"1552747_a_at"	"PP2D1"	"6.48557313697144"	"6.74515340571167"
"1552749_a_at"	"KLC3"	"7.51129447979173"	"7.80813064469075"
"1552750_at"	"CIB3"	"6.67230400078883"	"7.50662661510179"
"1552751_a_at"	"CIB3"	"7.61595973288464"	"8.16040133804688"
"1552752_a_at"	"CADM2"	"6.81449587553911"	"6.83973070041176"
"1552754_a_at"	"CADM2"	"6.81044808003321"	"6.82932856598294"
"1552755_at"	"C9orf66"	"7.38245100885804"	"7.37453213061491"
"1552757_s_at"	"C9orf66"	"6.81581049497449"	"6.9036690773642"
"1552758_at"	"HDAC9"	"6.76583515090254"	"7.26537509801301"
"1552760_at"	"HDAC9"	"6.67582171122527"	"6.93212713320522"
"1552761_at"	"SLC16A11"	"7.4156941672219"	"7.68143139446305"
"1552763_at"	"TMEM67"	"6.60357612107572"	"6.72391429916847"
"1552765_x_at"	"TMEM67"	"6.63618137172171"	"6.76964642021646"
"1552766_at"	"HS6ST2"	"6.56557194188928"	"6.85291996666925"
"1552767_a_at"	"HS6ST2"	"6.74291196733499"	"6.70518128426244"
"1552768_at"	"CAMKK1"	"7.27663735185561"	"7.40460927221666"
"1552769_at"	"ZNF625"	"7.07805094236441"	"7.08896766497374"
"1552770_s_at"	"ZNF563"	"6.74986090160754"	"6.68501467900238"
"1552771_a_at"	"LIN9"	"6.67230400078883"	"7.39082431734684"
"1552772_at"	"CLEC4D"	"10.2333148196562"	"9.30092407078044"
"1552773_at"	"CLEC4D"	"10.2086721126763"	"8.18739459049212"
